order	pop	samp	phot	cp	mt	nt	comment	sample_C13	C13	C13_con	str
306	ZAM17-17	ZAM17-17-04	C4	E	fg	IIIb	NA	ZAM17-17-04	-11.38	C4	d129
307	ZAM17-17	ZAM17-17-05	C4	E	fg	IIIb	NA	ZAM17-17-05	-13.09	C4	d130
308	ZAM17-19	ZAM17-19-03	C4	E	fg	IIIb	NA	ZAM17-19-03	-12.52	C4	d131
309	ZAM17-19	ZAM17-19-04	C4	E	fg	IIIb	NA	ZAM17-19-04	-12.69	C4	d132
310	ZAM17-19	ZAM17-19-05	C4	E	fg	IIIb	NA	ZAM17-19-05	-12.88	C4	d133
311	JKO-11	JKO-11-01	C4	E	fg	IIIb	NA	JKO-11-01	-11.23	C4	d010
312	JKO-11	JKO-11-02	C4	E	fg	IIIb	NA	JKO-11-02	-13.77	C4	d011
313	JKO-11	JKO-11-03	C4	E	fg	IIIb	NA	JKO-11-03	-11.65	C4	d012
314	JKO-11	JKO-11-04	Int	BC	bc	II	JKO-12-01	JKO-12-01	-22.84	Non-C4	b092
315	JKO-11	JKO-11-05	C4	E	fg	IIIb	NA	JKO-11-05	-12.58	C4	d014
316	JKO-12	JKO-12-01	C4	E	fg	IIIb	JKO-11-04	JKO-11-04	-12.14	C4	d013
317	JKO-12	JKO-12-02	Int	BC	bc	II	NA	JKO-12-02	-22.55	Non-C4	b093
318	JKO-12	JKO-12-03	Int	BC	bc	II	NA	JKO-12-03	-21.89	Non-C4	b094
319	JKO-12	JKO-12-04	Int	BC	bc	II	NA	JKO-12-04	-21.11	Non-C4	b095
320	JKO-12	JKO-12-05	Int	BC	bc	II	NA	JKO-12-05	-22.46	Non-C4	b096
321	JKO-13	JKO-13-01	Int	BC	bc	II	NA	JKO-13-01	-22.32	Non-C4	b097
322	JKO-13	JKO-13-02	Int	BC	bc	II	NA	JKO-13-02	-24.63	Non-C4	b098
323	JKO-13	JKO-13-04	Int	BC	bc	II	NA	JKO-13-04	-22.86	Non-C4	b099
324	JKO-13	JKO-13-05	Int	BC	bc	II	NA	JKO-13-05	-22.64	Non-C4	b100
325	JKO-16	JKO-16-01	Int	BC	bc	II	NA	JKO-16-01	-26.44	Non-C4	b101
326	JKO-16	JKO-16-02	Int	BC	bc	II	NA	JKO-16-02	-25.89	Non-C4	b102
327	JKO-22	JKO-22-01	C4	E	fg	IIIb	NA	JKO-22-01	-12.27	C4	d015
328	JKO-23	JKO-23-01	Int	BC	bc	II	NA	JKO-23-01	-22.43	Non-C4	b103
